player_id,first_name,last_name,year,team,height,oreb_rate,dreb_rate,ast_rate,stl_rate,blk_rate,tov_rate,pts_hundred,usg_rate,per,ftr,ft_perc,fga_hundred,two_perc,two_m_ast,fga_dunk_perc,three_a_rate,three_a_corner_perc,three_perc,three_m_ast,zero_three_a_perc,three_ten_a_perc,ten_threep_a_perc,cluster,new_position,old_position,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9
2014scurrygsw,stephen,curry,2014,gsw,75,2.4,11.4,38.6,3,0.5,14.3,35.5,28.9,28,0.251,0.914,25.1,0.528,0.332,0.003,0.482,0.121,0.443,0.584,0.186,0.098,0.235,1,High Usage Guard,PG,0.901426139,1.91E-77,2.91E-24,0,5.29E-19,1.44E-10,0,6.66E-36,0.09857386
2014klowrytor,kyle,lowry,2014,tor,72,2.6,13.1,32.4,2.3,0.4,12.8,26.6,25.4,19.3,0.299,0.808,22.3,0.457,0.262,0,0.375,0.148,0.338,0.576,0.199,0.14,0.286,1,High Usage Guard,PG,0.999872833,7.83E-61,2.27E-10,0,3.89E-12,0.000126867,0,6.11E-36,3.00E-07
2009sweemstor,sonny,weems,2009,tor,78,3.7,12.6,11.6,1.5,1.4,11.8,19.5,18.4,12.9,0.14,0.688,17.3,0.528,0.654,0.096,0.033,0.133,0.133,0.5,0.297,0.129,0.541,5,Versatile Role Player,SG,3.32E-146,1.18E-61,5.34E-122,0,1,8.03E-35,0,5.97E-36,5.55E-66
2013kmarshalllal,kendall,marshall,2013,lal,76,1,9.6,44.3,1.5,0.2,25.6,13.4,16.3,12.6,0.086,0.528,13,0.411,0.212,0,0.425,0.039,0.399,0.873,0.232,0.093,0.251,6,Floor General,PG,4.57E-45,3.15E-64,2.15E-28,0,2.41E-09,0.999999998,0,4.99E-36,2.36E-178
2011rwestbrookokc,russell,westbrook,2011,okc,75,5,9.4,29.8,2.5,0.7,14.2,34.5,32.7,22.9,0.326,0.823,28,0.482,0.182,0.049,0.155,0.056,0.316,0.516,0.291,0.152,0.402,9,Ball Dominant Scorer,PG,1.56E-10,6.93E-75,3.43E-21,0,1.71E-07,1.08E-16,0,4.73E-36,0.999999829
2018dfoxsac,de'aaron,fox,2018,sac,75,1.7,10.8,33.2,2.4,1.5,15,25.6,24.5,18.1,0.378,0.727,20.1,0.482,0.172,0.039,0.211,0.129,0.371,0.523,0.279,0.254,0.257,1,High Usage Guard,PG,0.999490888,1.67E-73,2.26E-12,0,2.16E-05,1.60E-05,0,4.28E-36,0.000471573
2013klowrytor,kyle,lowry,2013,tor,72,3.6,11.5,34.7,2.2,0.4,13.4,25.9,22.9,20.1,0.356,0.813,19.7,0.46,0.281,0,0.463,0.112,0.38,0.637,0.188,0.162,0.188,1,High Usage Guard,PG,0.999548005,1.87E-62,4.74E-13,0,3.80E-17,0.000451995,0,4.21E-36,6.40E-13
2011mmillermia,mike,miller,2011,mia,80,3.6,16.2,8.7,1,0.6,12.4,16.6,14.9,11.4,0.024,0.4,14.6,0.413,0.684,0.005,0.56,0.316,0.453,0.925,0.139,0.029,0.272,2,Stretch Forward,SG,1.13E-94,0.999999998,1.82E-28,0,6.18E-19,1.61E-09,0,3.60E-36,2.43E-267
2011ajohnsontor,amir,johnson,2011,tor,81,11.4,19.4,8.7,1.1,3.6,20,15.7,14.3,14.4,0.247,0.69,11.8,0.579,0.696,0.162,0.015,0.6,0.4,0.5,0.509,0.188,0.288,5,Versatile Role Player,PF,3.24E-115,5.81E-55,1.31E-72,0,1,8.23E-83,0,3.38E-36,6.14E-52
2010jcollinsatl,jason,collins,2010,atl,84,6.1,14.5,5.3,0.8,1.2,22.6,8.7,9.2,5.4,0.577,0.659,6.4,0.471,0.848,0.099,0.014,1,1,1,0.38,0.155,0.451,5,Versatile Role Player,C,0,4.88E-211,0,0,1,1.65E-171,0,2.65E-36,0
2014dlillardpor,damian,lillard,2014,por,75,1.8,11.8,29,1.7,0.5,12.6,30,26.9,20.7,0.293,0.864,23.7,0.5,0.241,0.024,0.421,0.119,0.343,0.51,0.285,0.088,0.207,1,High Usage Guard,PG,0.999989065,7.75E-65,5.60E-11,0,2.04E-09,1.04E-05,0,2.48E-36,5.43E-07
